NO.實驗,原膜,膜厚,,RI,,,,,,,,,,,TOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,AD,,,,,,,,,,結果,,,,,,,,,,,,,,
,,,分類,水,甲醇,MEK,Anone,A006,A009,A010,A012,A025,A026,塗佈棒,水,甲醇,乙醇,MEK,PMA,A001,A002,A003,A004,A005,A007,A008,A012,A013,A014,A015,A016,A017,A018,A019,A020,A021,A022,A023,A024,A028,A029,塗佈棒,TL,EAC,A030,A031,A032,A033,A034,塗佈棒,理論乾量,實際乾量,耐溫（℃）,平均剝離(gf),最小剝離(gf),最大剝離(gf),剝離振幅(gf),切面,破膜,油墨密著,燙印測試,轉印切面,轉印飽滿度,轉印網點,轉印破開,泡料外觀,外觀
672-1,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,,3.4,2.6,,2.5,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,,90,1.57,1.56,1.6,0.04,5,1.72,4,以INX HT膠測試切面版,3.5,4.5,4.5,4,,
672-2,翔宇,10.5,RI+TOP+AD,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,,,2.6,,2.5,,,,,,,,,,,,,,,3.4,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.43,1.42,1.45,0.03,3,7.85,1,,3.5,4.5,4.5,4,,
672-3,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,1.8,3.6,,2.5,3.4,2.6,,,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.91,1.89,1.92,0.03,4,1.97,5,,4,4.5,4.5,3.5,,
672-4,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,,,2.5,,3.4,2.6,,,,,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,90,1.91,1.89,1.92,0.03,4,1.97,3,以INX HT膠測試切面版,4,4.5,4.5,3.5,,
672-5,翔宇,10.5,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,,,,2.5,,2.6,,,,,,,,,,,,,,,,,3.4,,#3,7.6,7.6,1.8,1.1,,,,#3,,1.50,85,1.68,1.66,1.69,0.03,3,1.75,2,以INX HT膠測試切面版,4,4.5,4.5,3.5,,
697-1,翔宇,10.5,TOP,,,,,,,,,,,,1,2,,0.8,,,,,,2,,,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.14,90,1.83,1.82,1.85,0.03,4.5,2.81,5,以INX HT膠測試切面版,3,5,3.5,3.5,雲霧狀明顯白色顆粒析出,
697-2,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,3,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.06,90,1.92,1.89,1.94,0.05,5,3.36,5,以INX HT膠測試切面版,3.5,4.5,3.5,3,雲霧狀析出,
697-3,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,4,,,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.08,90,2.44,2.42,2.47,0.05,5.5,3.12,5,以INX HT膠測試切面版,3.5,4.5,3,3.5,雲霧狀析出,
697-4,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,2,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.05,90,1.97,1.95,1.98,0.03,5.5,2.04,5,以INX HT膠測試切面版,3,5,2.5,3,雲霧狀析出,
697-5,翔宇,10.5,,,,,,,,,,,,,1,2,,0.8,,,,,,1,,,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,1.10,1.09,90,2.01,1.99,2.02,0.03,5.5,3.46,3,以INX HT膠測試切面版,3,5,2.5,3,雲霧狀析出,
698-1,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,3.2,,,,,,,,,#3,9,9,,,,0.8,0.5,#3,,,,1.95,1.94,1.97,0.03,6,1.92,5,以INX HT膠測試切面版,3,3,5,5,,ok
698-2,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.4,3,,,,,,,,,,,,,,,,,,2.2,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.57,,2.52,2.48,2.52,0.04,6,7.31,5,以INX HT膠測試切面版,5,2,5,5,,上AD膠，料面明顯滲透
698-3,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,,,3.2,,,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.60,,2.51,2.49,2.52,0.03,6,113.05,5,以INX HT膠測試切面版,5,2,5,5,,ok
698-4,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.6,3,,,,,,,,,,,,,,,,,,,3.2,,,,#3,,,,,,0.8,0.5,#3,0.70,0.57,,2.51,2.49,2.52,0.03,6,113.05,5,以INX HT膠測試切面版,5,2,5,5,,ok
698-5,康輝,6,,1.5,3.1,1.5,,0.6,,,0.4,,,#3,,,,4.5,2.9,,,,,,,,,,,,,,,1.7,,,,,,,,#3,,,,,,0.8,0.5,#3,0.70,0.64,,2.58,2.56,2.59,0.03,6,2.56,5,以INX HT膠測試切面版,5,2,5,5,,上AD膠，料面輕微滲透
709-1,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,2,,,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.66,90,1.73,1.7,1.74,0.04,5.5,1.8,5,以INX HT膠測試切面版,3,4,5,3,T1~T5皆有棉絮狀析出,
709-2,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,,,2,6,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.68,90,1.52,1.51,1.54,0.03,5,1.87,5,以INX HT膠測試切面版,2.5,5,5,4,T1~T5皆有棉絮狀析出,
709-3,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,1,,2,5,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.63,90,1.8,1.78,1.82,0.04,5,2.26,5,以INX HT膠測試切面版,1,5,4,4,T1~T5皆有棉絮狀析出,
709-4,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,1,,3,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.64,90,2.19,2.17,2.22,0.05,5.5,4.33,5,以INX HT膠測試切面版,4,3.5,5,3.5,T1~T5皆有棉絮狀析出,塗TOP層後，T4、T5料面呈油霧狀。
709-5,翔宇,6,,,,,,,,,,,,,2.2,4.4,,2.2,,,,,,2,,2,4,,,,,,,,,,,,,,,#3,7.6,7.6,1.8,,1.1,,,#3,0.70,0.66,90,2.01,1.98,2.04,0.06,6,4.44,5,以INX HT膠測試切面版,3.5,3.5,5,3.5,T1~T5皆有棉絮狀析出,塗TOP層後，T4、T5料面呈油霧狀。
710-1,海洋(霧),12,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,4.86,4.65,5.17,0.52,6,7.75,,以INX HT膠測試切面版,1,3,3,1,,
710-2,海洋(霧),12,,,7.2,1.8,3.6,,0.8,0.3,,,,#4,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,3.87,3.83,3.9,0.07,6,3.99,,以INX HT膠測試切面版,1.5,2,2,1,,
710-3,海洋(霧),12,,,6,1.5,3,,0.8,0.3,,,,#4,,,,5.3,10.5,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,,,,3.8,3.76,3.8,0.04,6,5.55,,以INX HT膠測試切面版,1,2,1.5,1,,
710-4,海洋(霧),12,,,8.8,2.2,4.4,,0.8,0.3,,,,#3,,,,4.2,8.2,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,1.50,1.52,,4.37,4.22,4.57,0.35,6,6.27,,以INX HT膠測試切面版,1,1,1.5,1,,
710-5,海洋(霧),12,,,7.2,1.8,3.6,,0.8,0.3,,,,#4,,,,4.2,8.2,,,3.4,2.6,,,,,,,,,,,,,,,,,,2.5,#4,7.6,7.6,,,,1.8,1.1,#3,1.60,1.73,,3.61,3.57,3.62,0.05,6,3.94,,以INX HT膠測試切面版,1,2,3.5,1,,
